date,total_calls,crit_calls,non_crit_calls,fire_calls,source
September-21-2021,603,178,308,117,https://t.co/WMe4JM8GM8
September-20-2021,568,179,287,102,https://t.co/41LbYPrlqk
September-19-2021,620,178,311,131,https://t.co/KVlQ20aEtE
September-18-2021,647,176,365,critical,related
September-17-2021,557,156,305,96,https://t.co/UI6XdzDnLO
September-16-2021,611,179,313,119,https://t.co/b8DBnb4Lm2
September-15-2021,628,179,317,132,https://t.co/wcQifVIjcX
2021-09-15,,,,,
September-13-2021,625,186,324,115,https://t.co/z8OYT42jVr
September-12-2021,560,193,269,98,https://t.co/FhujgB5d0o
to-587-2021,responded,179,308,100,https://t.co/FPHSzqtMWx
2021-09-11,,,,,
September-10-2021,630,198,302,130,https://t.co/786TfgkdYv
September-8-2021,588,180,297,111,https://t.co/sESLKcSDxR
2021-09-09,,,,,
September-7-2021,592,166,289,137,https://t.co/VFyZoRMmpt
September-6-2021,597,184,296,117,https://t.co/9MKHgdaAN4
September-5-2021,574,170,300,104,https://t.co/O01P2WTSS4
September-4-2021,608,158,333,117,https://t.co/MPzvg0fQrn
September-3-2021,627,194,322,111,https://t.co/n7cmS3sekh
September-2-2021,587,188,289,110,https://t.co/3g7LS8JFkg
September-1-2021,531,148,257,126,https://t.co/3wZQedMzh9
August-31-2021,537,150,276,111,https://t.co/7OVGLKoyX9
August-30-2021,583,160,314,109,https://t.co/qN7repufk5
2021-08-30,,,,,
August-29-2021,535,168,247,120,https://t.co/HbY3V3hS9S
August-28-2021,630,190,325,115,https://t.co/ptS04lLYrG
2021-08-28,,,,,
August-27-2021,660,189,340,131,https://t.co/i4dfcrzIMs
